Ali	17	Digital Image Processing(CS)		Web Programming(CS-B)	Thursday(11:0)
Ali	40	Network Security(CS)		Psychology(CS)	Monday(14:0)
Ali	40	Network Security(CS)		Psychology(CS)	Wednesday(14:0)
Ali	58	Artificial Intelligence(CS-B)		Software Engineering(CS-B)	Tuesday(9:30)
Ali	58	Artificial Intelligence(CS-B)		Software Engineering(CS-B)	Thursday(9:30)
Ali	71	Data Science(CS-B)		Professional Issues in IT(CS-C)	Tuesday(14:0)
Ali	71	Data Science(CS-B)		Professional Issues in IT(CS-C)	Thursday(14:0)
Ali	146	Human Computer Interaction(CS-A)		Operating Systems(CS-B)	Tuesday(14:0)
Ali	146	Human Computer Interaction(CS-A)		Operating Systems(CS-B)	Thursday(14:0)
Ali	156	Object Oriented Analysis & Design Lab(CS-B1, CS-B2)		Technical & Business Writing(CS-C)	Monday(8:0)
Ali	179	Object Oriented  Analysis & Design(CS-A)		Theory of Automata(CS-B)	Monday(11:0)
Ali	179	Object Oriented  Analysis & Design(CS-A)		Theory of Automata(CS-B)	Wednesday(11:0)
Ali	235	Human Computer Interaction(CS-A)		Professional Issues in IT(CS-C)	Tuesday(14:0)
Ali	235	Human Computer Interaction(CS-A)		Professional Issues in IT(CS-C)	Thursday(14:0)
Ali	270	Computer Networks Lab(CS-A1 & CS-A2)		Object Oriented Analysis & Design Lab(CS-A1, CS-A2)	Friday(9:30)
Ali	279	Artificial Intelligence(CS-C)		Computer Networks(CS-B)	Tuesday(8:0)
Ali	279	Artificial Intelligence(CS-C)		Computer Networks(CS-B)	Thursday(8:0)
Ali	298	Data Science(CS-B)		Human Computer Interaction(CS-A)	Tuesday(14:0)
Ali	298	Data Science(CS-B)		Human Computer Interaction(CS-A)	Thursday(14:0)
Ali	320	Artificial Intelligence(CS-C)		Operating Systems Lab(CS-B1 & CS-B2)	Tuesday(8:0)
Ali	355	Advanced Programming(CS)		Theory of Automata(CS-A)	Monday(9:30)
Ali	355	Advanced Programming(CS)		Theory of Automata(CS-A)	Wednesday(9:30)
